"workerid","rt","trial_type","story","trial_num","target","missing","n_data","condition","planet","frequency","treatment","query","distribution","category","response","unit"
0,45609,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","Z142",-99,"object","make the play music","rare","blins",0.08,"times"
0,45609,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","Z142",-99,"object","make the play music","rare","blins",0.01,"times"
0,45609,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","Z142",-99,"object","make the play music","rare","blins",0.09,"times"
0,45609,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","Z142",-99,"object","make the play music","rare","blins",0,"times"
0,45609,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","Z142",-99,"object","make the play music","rare","blins",0.07,"times"
0,45609,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","Z142",-99,"object","make the play music","rare","blins",0.07,"times"
1,117683,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","A325",-99,"object","make the play music","rare","kazzes",0.01,"times"
1,117683,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","A325",-99,"object","make the play music","rare","kazzes",0,"times"
1,117683,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","A325",-99,"object","make the play music","rare","kazzes",0.01,"times"
1,117683,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","A325",-99,"object","make the play music","rare","kazzes",0.02,"times"
1,117683,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","A325",-99,"object","make the play music","rare","kazzes",0.01,"times"
1,117683,"prior_and_posterior","artifact play music",0,"makes the machine play music",2,4,"prior","A325",-99,"object","make the play music","rare","kazzes",0,"times"
2,93574,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","A325",-99,"compound","make the metal rust","rare","morseths",0,"metals"
2,93574,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","A325",-99,"compound","make the metal rust","rare","morseths",0,"metals"
2,93574,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","A325",-99,"compound","make the metal rust","rare","morseths",0.08,"metals"
2,93574,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","A325",-99,"compound","make the metal rust","rare","morseths",0.36,"metals"
2,93574,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","A325",-99,"compound","make the metal rust","rare","morseths",0,"metals"
2,93574,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","A325",-99,"compound","make the metal rust","rare","morseths",0,"metals"
3,162102,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","moxes",0,"times"
3,162102,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","moxes",0.07,"times"
3,162102,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","moxes",0.02,"times"
3,162102,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","moxes",0.02,"times"
3,162102,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","moxes",0.02,"times"
3,162102,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","moxes",0.08,"times"
4,76214,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","plovs",0,"metals"
4,76214,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","plovs",0.15,"metals"
4,76214,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","plovs",0.08,"metals"
4,76214,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","plovs",0,"metals"
4,76214,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","plovs",0,"metals"
4,76214,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","plovs",0.25,"metals"
5,8003,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","X137",-99,"compound","make the metal rust","rare","lorches",0.22,"metals"
5,8003,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","X137",-99,"compound","make the metal rust","rare","lorches",0.49,"metals"
5,8003,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","X137",-99,"compound","make the metal rust","rare","lorches",0.28,"metals"
5,8003,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","X137",-99,"compound","make the metal rust","rare","lorches",0.54,"metals"
5,8003,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","X137",-99,"compound","make the metal rust","rare","lorches",0.5,"metals"
5,8003,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","X137",-99,"compound","make the metal rust","rare","lorches",0.84,"metals"
6,58580,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","X137",-99,"object","make the play music","rare","elleps",0.27,"times"
6,58580,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","X137",-99,"object","make the play music","rare","elleps",0.32,"times"
6,58580,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","X137",-99,"object","make the play music","rare","elleps",0.25,"times"
6,58580,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","X137",-99,"object","make the play music","rare","elleps",0.28,"times"
6,58580,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","X137",-99,"object","make the play music","rare","elleps",0.6,"times"
6,58580,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","X137",-99,"object","make the play music","rare","elleps",0.42,"times"
7,34758,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","mooks",0.2,"times"
7,34758,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","mooks",0,"times"
7,34758,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","mooks",0.02,"times"
7,34758,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","mooks",0.01,"times"
7,34758,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","mooks",0.2,"times"
7,34758,"prior_and_posterior","artifact play music",0,"makes the machine play music",1,4,"prior","A325",-99,"object","make the play music","rare","mooks",0.01,"times"
8,231591,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","X137",-99,"compound","make the metal rust","rare","dorbs",0,"metals"
8,231591,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","X137",-99,"compound","make the metal rust","rare","dorbs",0,"metals"
8,231591,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","X137",-99,"compound","make the metal rust","rare","dorbs",0.09,"metals"
8,231591,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","X137",-99,"compound","make the metal rust","rare","dorbs",0,"metals"
8,231591,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","X137",-99,"compound","make the metal rust","rare","dorbs",0,"metals"
8,231591,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","X137",-99,"compound","make the metal rust","rare","dorbs",0.06,"metals"
9,50929,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","wugs",0.02,"metals"
9,50929,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","wugs",0.02,"metals"
9,50929,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","wugs",0.02,"metals"
9,50929,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","wugs",0.01,"metals"
9,50929,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","wugs",0.06,"metals"
9,50929,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",1,4,"prior","Z142",-99,"compound","make the metal rust","rare","wugs",0.16,"metals"
10,123047,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","Z142",-99,"compound","make the metal rust","rare","moxes",0.07,"metals"
10,123047,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","Z142",-99,"compound","make the metal rust","rare","moxes",0,"metals"
10,123047,"prior_and_posterior","metal rust",0,"makes CATEGORY rust",2,4,"prior","Z142",-99,"compound","make the metal rust","rare","moxes",0,"metals"
